"date","num_casos","Population2020","daily_cases_per100k","daily_cases_per100k_mavg","location_google","provincia_iso"
2020-06-20,270,47450795,0.569010487600893,0.605138137607299,"Spain total","ES"
2020-06-21,250,47450795,0.526861562593419,0.621094516360128,"Spain total","ES"
2020-06-22,324,47450795,0.682812585121071,0.618384942609647,"Spain total","ES"
2020-06-23,356,47450795,0.750250865133029,0.63283600261221,"Spain total","ES"
2020-06-24,405,47450795,0.853515731401339,0.663544505117655,"Spain total","ES"
2020-06-25,373,47450795,0.786077451389381,0.684016840121285,"Spain total","ES"
2020-06-26,416,47450795,0.876697640155449,0.720746617627798,"Spain total","ES"
2020-06-27,327,47450795,0.689134923872192,0.73790725138084,"Spain total","ES"
2020-06-28,279,47450795,0.587977503854256,0.746638100132388,"Spain total","ES"
2020-06-29,428,47450795,0.901986995159934,0.77794873013794,"Spain total","ES"
2020-06-30,463,47450795,0.975747613923012,0.810162551393652,"Spain total","ES"
2020-07-01,579,47450795,1.22021137896636,0.862547643902941,"Spain total","ES"
2020-07-02,454,47450795,0.956780597669649,0.886933807657265,"Spain total","ES"
2020-07-03,581,47450795,1.22442627146711,0.936609326416073,"Spain total","ES"
2020-07-04,458,47450795,0.965210382671144,0.976048677673066,"Spain total","ES"
2020-07-05,468,47450795,0.986284845174881,1.03294972643316,"Spain total","ES"
2020-07-06,749,47450795,1.57847724152988,1.12959119020029,"Spain total","ES"
2020-07-07,827,47450795,1.74285804905903,1.23917839521972,"Spain total","ES"
2020-07-08,946,47450795,1.9936441528535,1.34966879148931,"Spain total","ES"
2020-07-09,967,47450795,2.03790052411135,1.5041144952667,"Spain total","ES"
2020-07-10,1182,47450795,2.49100146794169,1.68505380904878,"Spain total","ES"
2020-07-11,918,47450795,1.93463565784304,1.82354313407334,"Spain total","ES"
2020-07-12,908,47450795,1.9135611953393,1.95601118409683,"Spain total","ES"
2020-07-13,1454,47450795,3.06422684804333,2.16826112788446,"Spain total","ES"
2020-07-14,1570,47450795,3.30869061308667,2.39195149417412,"Spain total","ES"
