"ORIGEN","DESTINO","O_D","Nombre_Zona_origin","NUTS_CNTR_CODE_origin","NUTS_ID_origin","Nombre_Zona_destination","NUTS_CNTR_CODE_destination","NUTS_ID_destination","xcoord_origin","ycoord_origin","xcoord_destination","ycoord_destination","mode","counts"
"ES01","ES15","ES01_ES15","Araba/Alava","ES","ES211","A Coruna","ES","ES111",-2.68598435098573,42.8695986935993,-8.47853830273453,43.0892158335483,"ferry",0
"ES01","ES15","ES01_ES15","Araba/Alava","ES","ES211","A Coruna","ES","ES111",-2.68598435098573,42.8695986935993,-8.47853830273453,43.0892158335483,"all trips",59992
"ES01","ES16","ES01_ES16","Araba/Alava","ES","ES211","Cuenca","ES","ES423",-2.68598435098573,42.8695986935993,-2.21836025952043,39.9013166996047,"car",21409
"ES01","ES16","ES01_ES16","Araba/Alava","ES","ES211","Cuenca","ES","ES423",-2.68598435098573,42.8695986935993,-2.21836025952043,39.9013166996047,"bus",0
"ES01","ES16","ES01_ES16","Araba/Alava","ES","ES211","Cuenca","ES","ES423",-2.68598435098573,42.8695986935993,-2.21836025952043,39.9013166996047,"train",0
"ES01","ES16","ES01_ES16","Araba/Alava","ES","ES211","Cuenca","ES","ES423",-2.68598435098573,42.8695986935993,-2.21836025952043,39.9013166996047,"plane",0
"ES01","ES16","ES01_ES16","Araba/Alava","ES","ES211","Cuenca","ES","ES423",-2.68598435098573,42.8695986935993,-2.21836025952043,39.9013166996047,"ferry",0
"ES01","ES16","ES01_ES16","Araba/Alava","ES","ES211","Cuenca","ES","ES423",-2.68598435098573,42.8695986935993,-2.21836025952043,39.9013166996047,"all trips",21409
"ES01","ES17","ES01_ES17","Araba/Alava","ES","ES211","Girona","ES","ES512",-2.68598435098573,42.8695986935993,2.56649735838387,42.1738045335234,"car",50527
"ES01","ES17","ES01_ES17","Araba/Alava","ES","ES211","Girona","ES","ES512",-2.68598435098573,42.8695986935993,2.56649735838387,42.1738045335234,"bus",0
"ES01","ES17","ES01_ES17","Araba/Alava","ES","ES211","Girona","ES","ES512",-2.68598435098573,42.8695986935993,2.56649735838387,42.1738045335234,"train",0
"ES01","ES17","ES01_ES17","Araba/Alava","ES","ES211","Girona","ES","ES512",-2.68598435098573,42.8695986935993,2.56649735838387,42.1738045335234,"plane",0
"ES01","ES17","ES01_ES17","Araba/Alava","ES","ES211","Girona","ES","ES512",-2.68598435098573,42.8695986935993,2.56649735838387,42.1738045335234,"ferry",0
"ES01","ES17","ES01_ES17","Araba/Alava","ES","ES211","Girona","ES","ES512",-2.68598435098573,42.8695986935993,2.56649735838387,42.1738045335234,"all trips",50527
